Model,Accuracy,Kappa,Recall,Specificity,Precision,F1,AUC
Logistic Regression,0.7081292850146915,0.13977540034379787,0.8163265306122449,0.7026748971193416,0.12158054711246204,0.21164021164021163,0.8425086083816242
Random Forest,0.7404505386875612,0.16770486306573956,0.8367346938775511,0.73559670781893,0.1375838926174497,0.23631123919308358,0.8184996220710506
Linear SVM,0.7198824681684622,0.15681235417773545,0.8571428571428571,0.7129629629629629,0.13084112149532706,0.227027027027027,0.8434324347022759
RBF SVM,0.7335945151811949,0.15293486085184785,0.7959183673469388,0.7304526748971193,0.12956810631229232,0.22285714285714284,0.8209246661627614
