"Model","Accuracy","Kappa","Recall","Specificity","Precision","F1","AUC"
"Logistic Regression",0.712047012732615,0.151322039265357,0.857142857142857,0.704732510288066,0.127659574468085,0.222222222222222,0.844398253128412
"Random Forest",0.948090107737512,0.0261666096784047,0.0204081632653061,0.994855967078189,0.166666666666668,0.0363636363636364,0.803907365415302
"Linear SVM",0.720861900097943,0.161994038619378,0.877551020408163,0.712962962962963,0.133540372670807,0.231805929919137,0.844125304442765
"RBF SVM",0.915768854064642,0.188319251603837,0.26530612244898,0.948559670781893,0.206349206349206,0.232142857142857,0.786722096245906
"Nyström SVM",0.855044074436827,0.0864307997388213,0.26530612244898,0.88477366255144,0.104,0.149425287356322,0.610523221634333
