"Model","Accuracy","Kappa","Recall","Specificity","Precision","F1","AUC"
"Logistic Regression",0.952987267384917,0.03815355628827,0.0204081632653061,1,1,0.04,0.843327454438565
"Random Forest",0.951028403525955,-0.00192337886638593,0,0.998971193415638,0,NA,0.812820189804317
"Linear SVM",0.952007835455436,0,0,1,NA,NA,0.492126480221718
"RBF SVM",0.952007835455436,0.0355855421686759,0.0204081632653061,0.998971193415638,0.500000000000008,0.0392156862745098,0.632359116486101
"Nyström SVM",0.952007835455436,0,0,1,NA,NA,0.642395229696817
